author_did,has_mentions_in_bio,has_mentions_in_first_post,has_url_in_bio,has_url_in_first_post
did:plc:2hkt6ua3hmifz2khqrjxjzv5,False,False,False,False
did:plc:2hkulee7ycfpwsoq3oww46m6,False,False,False,False
did:plc:2hmw5yj5uqh47oc26x73tipb,False,False,False,False
did:plc:2hnlzrfgz4lahttqg7fmo5pg,False,False,False,False
did:plc:2hox7k3zzwfxxocfvf6r7uoh,False,False,False,False
did:plc:2hoxahwiqev2gnmd2fugvwcl,False,False,False,False
did:plc:2hp4v7eqwthqhepmqupmxtdo,False,False,False,False
did:plc:2hqebxe4h6iu63hzolimkedc,False,True,False,False
did:plc:2hs2zmwpwuix6zwo73msdwov,False,False,False,False
did:plc:2hs5lwjum4aeffspn7y7awvk,False,False,False,False
did:plc:2hswagdlcoffzxprfu6ygrv5,False,False,False,False
did:plc:2htf24hqara7aonpmzkjvvpt,False,False,False,False
did:plc:2htvfxjvcdgvypbxkvx6z2sh,False,False,False,False
did:plc:2hvjmbw263gctmvb25tove5c,False,True,False,False
did:plc:2hwofeyn7fwnwjnjz2ery7eo,False,False,False,False
did:plc:2hwtb2l6ad3tgi3vs2dtyduq,False,True,False,False
did:plc:2hwwyxcwmccjilk66z4d24xe,False,False,False,False
did:plc:2hxozswbkcpp7d3i7fgdrb73,False,False,False,False
did:plc:2hzabmzvb47c74a5zbrghoup,False,False,False,False
did:plc:2hzpwljvt6ufbrd7t6lqorft,False,False,False,False
did:plc:2i2ayysyi5ejqdzon2a6rais,False,False,False,False
did:plc:2i2iy5ve4exw3nvyreimq2pk,True,False,False,False
did:plc:2i2l6t4uh4y7vahpn7hiqx3f,False,False,False,False
did:plc:2i436xmthkx77jhstruxjiun,False,False,False,False
did:plc:2i55y34cdmlykd5f7rvueglg,False,False,False,False
did:plc:2i6vruxpayzfx5mq6moivolf,False,False,False,False
did:plc:2i7bdcdpi7jydvn2gmsj3fyp,False,False,False,False
did:plc:2i7k3wbwkjddk3xfnfum6jmn,False,False,False,False
did:plc:2ia5n4pv23ho3eonkslcnqek,False,False,False,False
did:plc:2ib2dymt7ypjzerd44ly4kzg,False,False,False,False
did:plc:2ibcixa2dqofansnua6bi7yq,False,False,False,False
did:plc:2ic7amhaf2eoh7xj3j2duf6f,False,True,False,False
did:plc:2ie425wzoojoewvaabwy6t3s,False,False,False,False
did:plc:2iejfn4ei7xutxiswscor3om,False,False,False,False
did:plc:2ietv3dgds553seieghkn4lt,False,False,False,False
did:plc:2ihna4vvh2ndpzkvgmnb2p5g,False,False,False,False
did:plc:2ij37ogqy5foaniyty5i6rrv,False,False,False,False
did:plc:2ilxzycbuz7rouezindmysda,True,False,False,False
did:plc:2ineokgv7pjsyeowly34u7do,False,False,False,False
did:plc:2ivi7uc4hfnwdpcdnu7ivvv6,False,True,False,False
did:plc:2izq6l77772taamxcm5uk4vo,False,False,False,False
did:plc:2izqxwlmw5rlkgfmiron4rpa,False,False,False,False
did:plc:2j244gxfgleeadbjfpemyvvt,False,False,False,False
did:plc:2j2rh2eid2bcgyzzloewu4bt,False,False,False,False
did:plc:2j3ubh5o227zn4lsd5nz2es3,False,True,False,False
did:plc:2j3zydxmoz5yvy2pv5ajjzqr,False,False,False,False
did:plc:2j5tm55wq2gdpkjo7zqqjb5i,False,False,False,False
did:plc:2j6t6fhbrfzpmetnoxmudrfj,False,False,False,False
did:plc:2jbzuvn7bvztoksea2a3mtgj,False,False,False,False
did:plc:2jfkxzonw3ylpnmn24wav36f,False,False,False,False
did:plc:2jfr7qhenekca6f6qtjgwdr4,False,False,False,False
did:plc:2jgwvodmjjwbd3jnmzo5uexj,True,False,False,False
did:plc:2jjromh55tf7pp7s4hsvurf4,False,False,False,False
did:plc:2jkz6trrzzoxow5rrmlxpdim,False,False,False,False
did:plc:2jlrju6yvwdmjiqmyiggcuf5,False,False,False,False
did:plc:2jmdt5r4k5xgshbncsu2djlc,False,False,False,False
did:plc:2jnl6yakniditi57ykhcxyqj,False,False,False,False
did:plc:2jp2b5fdze5yvkh236z2xa6q,False,False,False,False
did:plc:2jq6oaaxwk6dybglgaiuonz3,False,False,False,False
did:plc:2jsglkmrwyc6lvo26opqc2x3,False,False,False,False
did:plc:2jtya2svlwcpos5drug4lsvx,True,False,False,False
did:plc:2juiu7f6b2dtqowkauyxe2be,False,False,False,False
did:plc:2jusrdx2sgzq7j732ktbonqs,False,False,False,False
did:plc:2jv2fg6b6vwjh7fttdoxlykl,False,False,False,False
did:plc:2jw3pqcuka4huv3ecivhkaul,False,False,False,False
did:plc:2jxiepcv6udfo64cqpgrrako,False,False,False,False
did:plc:2jxqlaczscaxsj5soxpbcfjc,False,False,False,False
did:plc:2k277ixkkvy5xfgzrr7srt3k,True,True,False,False
did:plc:2k2vy5qtz2b4smmzvac2zkjz,False,False,False,False
did:plc:2k3njk5tycyaigddvhxjwkel,False,False,False,False
did:plc:2k4gd7q6dgvluofhwbgf6adw,False,False,False,False
did:plc:2k4hdl4wgyghztvj5jv75qvn,True,True,False,False
did:plc:2k6xrrbwnmagf4lhkcsgriiq,False,False,False,False
did:plc:2kf2rrjpwolkmqhhnvkcat5d,False,False,False,False
did:plc:2kgntru6wynlsnbonmhe5i6t,False,False,False,False
did:plc:2kgxe7pxseg4xrhyjdzdk2jf,True,True,False,False
did:plc:2khvhle5nsvsxnwe5qii3dv5,True,True,False,False
did:plc:2ki26rmuxrtgahlvlgsvwkwv,False,False,False,False
did:plc:2kihbda6tf22mxtkxtiadvhg,True,False,False,False
did:plc:2kmoii3ybdooytuskjn6z36x,False,False,False,False
did:plc:2kn64fwuvvbm23rjgtxt726l,True,False,False,False
did:plc:2knixvykfu4nq7rsplgfelgw,False,False,False,False
did:plc:2knjygcicnv4v76cnexj6r3p,False,False,False,False
did:plc:2kodsyng2lct6jn3iujjpgkb,False,False,False,False
did:plc:2kqt3yykuaj7y65j6knuglsu,True,False,False,False
did:plc:2kra6lpzfu74akumuk5c6glv,False,True,False,False
did:plc:2krdhrw7if7qnptty37w7twe,False,False,False,False
did:plc:2ksu4k4c6ilw6lna7klshibk,False,True,False,False
did:plc:2kubgcwioilczytbqoigxa4k,False,False,False,False
did:plc:2kus7sw6koms6cwmsndrgzsp,False,False,False,False
did:plc:2kux35zzevr3uzdd4gw5sy2a,False,True,False,False
did:plc:2kwnbo7zlzbmqhswdhpv6qzk,False,False,False,False
did:plc:2ky2awbs3xyxq25soigcigzh,False,False,False,False
did:plc:2l46wx5svu2v7bhe4sj2eiym,False,False,False,False
did:plc:2l5atkf45rwpfasxfirvlpjc,True,False,False,False
did:plc:2lbpk65p7hmxugtemvh272o5,False,False,False,False
