author_did,kmeans_cluster,dbscan_cluster
did:plc:2hox7k3zzwfxxocfvf6r7uoh,0,0
did:plc:2hoxahwiqev2gnmd2fugvwcl,0,0
did:plc:2hp4v7eqwthqhepmqupmxtdo,0,-1
did:plc:2hqebxe4h6iu63hzolimkedc,0,0
did:plc:2hs2zmwpwuix6zwo73msdwov,0,0
did:plc:2hs5lwjum4aeffspn7y7awvk,0,0
did:plc:2hswagdlcoffzxprfu6ygrv5,0,0
did:plc:2htf24hqara7aonpmzkjvvpt,0,0
did:plc:2htvfxjvcdgvypbxkvx6z2sh,0,0
did:plc:2hvjmbw263gctmvb25tove5c,0,0
did:plc:2hwofeyn7fwnwjnjz2ery7eo,0,0
did:plc:2hwtb2l6ad3tgi3vs2dtyduq,0,0
did:plc:2hwwyxcwmccjilk66z4d24xe,0,0
did:plc:2hxozswbkcpp7d3i7fgdrb73,0,0
did:plc:2hzabmzvb47c74a5zbrghoup,0,0
did:plc:2hzpwljvt6ufbrd7t6lqorft,0,-1
did:plc:2i2ayysyi5ejqdzon2a6rais,0,0
did:plc:2i2iy5ve4exw3nvyreimq2pk,0,0
did:plc:2i2l6t4uh4y7vahpn7hiqx3f,0,0
did:plc:2i436xmthkx77jhstruxjiun,0,0
did:plc:2i55y34cdmlykd5f7rvueglg,0,0
did:plc:2i6vruxpayzfx5mq6moivolf,0,0
did:plc:2i7bdcdpi7jydvn2gmsj3fyp,0,0
did:plc:2i7k3wbwkjddk3xfnfum6jmn,0,0
did:plc:2ia5n4pv23ho3eonkslcnqek,0,0
did:plc:2ib2dymt7ypjzerd44ly4kzg,0,0
did:plc:2ibcixa2dqofansnua6bi7yq,0,0
did:plc:2ic7amhaf2eoh7xj3j2duf6f,0,0
did:plc:2ie425wzoojoewvaabwy6t3s,0,0
did:plc:2iejfn4ei7xutxiswscor3om,0,0
did:plc:2ietv3dgds553seieghkn4lt,0,0
did:plc:2ihna4vvh2ndpzkvgmnb2p5g,0,0
did:plc:2ij37ogqy5foaniyty5i6rrv,0,0
did:plc:2ilxzycbuz7rouezindmysda,0,0
did:plc:2ineokgv7pjsyeowly34u7do,0,0
did:plc:2ivi7uc4hfnwdpcdnu7ivvv6,0,0
did:plc:2izq6l77772taamxcm5uk4vo,0,0
did:plc:2izqxwlmw5rlkgfmiron4rpa,0,0
